YearMonth,Heating_Oil_Price,CPI,Real_Heating_Oil_Price,Heating_Degree_Days
2000-01,1.189,169.3,0.0070230360307147075,1163.0
2000-02,1.614,170.0,0.009494117647058825,894.0
2000-03,1.359,171.0,0.007947368421052632,673.0
2000-04,1.286,170.9,0.007524868344060854,530.0
2000-05,1.263,171.2,0.007377336448598131,256.0
2000-06,1.249,172.2,0.007253193960511035,77.0
2000-07,1.25,172.7,0.007237984944991315,7.0
2000-08,1.246,172.7,0.007214823393167343,3.0
2000-09,1.407,173.6,0.00810483870967742,113.0
2000-10,1.453,173.9,0.008355376653248994,349.0
2000-11,1.477,174.2,0.008478760045924226,636.0
2000-12,1.528,174.6,0.00875143184421535,1110.0
2001-01,1.509,175.6,0.008593394077448746,1087.0
2001-02,1.463,176.0,0.0083125,932.0
2001-03,1.394,176.1,0.00791595684270301,921.0
2001-04,1.367,176.4,0.007749433106575963,497.0
2001-05,1.343,177.3,0.007574732092498589,223.0
2001-06,1.322,177.7,0.007439504783342713,19.0
2001-07,1.257,177.4,0.007085682074408116,3.0
2001-08,1.238,177.4,0.0069785794813979705,1.0
2001-09,1.285,178.1,0.0072150477259966305,69.0
2001-10,1.227,177.6,0.006908783783783784,292.0
2001-11,1.193,177.5,0.0067211267605633805,501.0
2001-12,1.117,177.4,0.006296505073280721,758.0
2002-01,1.123,177.7,0.006319639842431064,878.0
2002-02,1.112,178.0,0.006247191011235956,803.0
2002-03,1.119,178.5,0.00626890756302521,769.0
2002-04,1.158,179.3,0.0064584495259341875,466.0
2002-05,1.163,179.5,0.006479108635097494,243.0
2002-06,1.136,179.6,0.006325167037861915,84.0
2002-07,1.127,180.0,0.006261111111111111,1.0
2002-08,1.135,180.5,0.00628808864265928,6.0
2002-09,1.174,180.8,0.006493362831858407,33.0
2002-10,1.203,181.2,0.00663907284768212,413.0
2002-11,1.221,181.5,0.006727272727272728,662.0
2002-12,1.267,181.8,0.006969196919691968,988.0
2003-01,1.396,182.6,0.00764512595837897,1269.0
2003-02,1.641,183.6,0.008937908496732027,1083.0
2003-03,1.766,183.9,0.009603045133224578,848.0
2003-04,1.491,183.2,0.008138646288209608,620.0
2003-05,1.372,182.9,0.0075013668671405145,310.0
2003-06,1.305,183.1,0.007127252867285636,80.0
2003-07,1.279,183.7,0.006962438758845944,2.0
2003-08,1.283,184.5,0.006953929539295392,5.0
2003-09,1.284,185.1,0.00693679092382496,31.0
2003-10,1.297,184.9,0.00701460248783126,372.0
2003-11,1.331,185.0,0.007194594594594594,574.0
2003-12,1.36,185.5,0.007331536388140162,898.0
2004-01,1.508,186.3,0.00809447128287708,1374.0
2004-02,1.558,186.7,0.008344938403856455,928.0
2004-03,1.541,187.1,0.00823623730625334,795.0
2004-04,1.519,187.4,0.00810565635005336,468.0
2004-05,1.533,188.2,0.008145589798087141,214.0
2004-06,1.537,188.9,0.008136580201164636,54.0
2004-07,1.536,189.1,0.008122686409307245,3.0
2004-08,1.607,189.2,0.008493657505285412,4.0
2004-09,1.671,189.8,0.00880400421496312,60.0
2004-10,1.882,190.8,0.009863731656184486,347.0
2004-11,1.958,191.7,0.010213875847678666,620.0
2004-12,1.895,191.7,0.009885237350026083,931.0
2005-01,1.859,191.6,0.00970250521920668,1187.0
2005-02,1.962,192.4,0.010197505197505197,949.0
2005-03,2.078,193.1,0.01076126359399275,923.0
2005-04,2.12,193.7,0.01094475993804853,463.0
2005-05,2.036,193.6,0.010516528925619835,398.0
2005-06,2.059,193.7,0.01062983995869902,69.0
2005-07,2.173,194.9,0.011149307337095947,11.0
2005-08,2.276,196.1,0.01160632330443651,0.0
2005-09,2.593,198.8,0.013043259557344063,36.0
2005-10,2.626,199.1,0.013189352084379708,332.0
2005-11,2.458,198.1,0.012407874810701667,574.0
2005-12,2.407,198.1,0.01215042907622413,1009.0
2006-01,2.418,199.3,0.012132463622679378,884.0
2006-02,2.423,199.4,0.012151454363089268,953.0
2006-03,2.429,199.7,0.012163244867300952,816.0
2006-04,2.526,200.7,0.012585949177877429,455.0
