YearMonth,Heating_Oil_Price,CPI,Real_Heating_Oil_Price,Heating_Degree_Days,Date,Year,Month,Quarter,Price_Change,Price_PctChange,Price_MA3,HDD_Category,HDD_Lag1,HDD_Lag3
2000-01,1.189,169.3,0.0070230360307147,1163.0,2000-01-01,2000,1,1,,,,Severe,,
2000-02,1.614,170.0,0.0094941176470588,894.0,2000-02-01,2000,2,1,0.0024710816163441007,0.35185375748280623,,Severe,1163.0,
2000-03,1.359,171.0,0.0079473684210526,673.0,2000-03-01,2000,3,1,-0.0015467492260062,-0.16291658514315654,0.0081548406996087,Cold,894.0,
2000-04,1.286,170.9,0.0075248683440608,530.0,2000-04-01,2000,4,2,-0.0004225000769918002,-0.053162261343339345,0.008322118137390734,Cold,673.0,1163.0
2000-05,1.263,171.2,0.0073773364485981,256.0,2000-05-01,2000,5,2,-0.00014753189546270074,-0.019605910524553405,0.007616524404570501,Mild,530.0,894.0
2000-06,1.249,172.2,0.007253193960511,77.0,2000-06-01,2000,6,2,-0.0001241424880870992,-0.016827548662321057,0.0073851329177233,Mild,256.0,673.0
2000-07,1.25,172.7,0.0072379849449913,7.0,2000-07-01,2000,7,3,-1.5209015519700511e-05,-0.0020968714751741224,0.007289505118033467,Warm,77.0,530.0
2000-08,1.246,172.7,0.0072148233931673,3.0,2000-08-01,2000,8,3,-2.316155182399953e-05,-0.0032000000000037554,0.0072353340995565335,Warm,7.0,256.0
2000-09,1.407,173.6,0.0081048387096774,113.0,2000-09-01,2000,9,3,0.0008900153165100995,0.1233592657795306,0.007519215682612,Mild,3.0,77.0
2000-10,1.453,173.9,0.0083553766532489,349.0,2000-10-01,2000,10,4,0.0002505379435715008,0.03091214428145883,0.007891679585364533,Cold,113.0,7.0
2000-11,1.477,174.2,0.0084787600459242,636.0,2000-11-01,2000,11,4,0.00012338339267529974,0.014766945620257932,0.008312991802950167,Cold,349.0,3.0
2000-12,1.528,174.6,0.0087514318442153,1110.0,2000-12-01,2000,12,4,0.00027267179829110026,0.032159395573669425,0.008528522847796134,Severe,636.0,113.0
2001-01,1.509,175.6,0.0085933940774487,1087.0,2001-01-01,2001,1,1,-0.00015803776676660136,-0.018058503977387952,0.008607861989196067,Severe,1110.0,349.0
2001-02,1.463,176.0,0.0083125,932.0,2001-02-01,2001,2,1,-0.0002808940774486988,-0.03268721007289055,0.008552441973888,Severe,1087.0,636.0
2001-03,1.394,176.1,0.007915956842703,921.0,2001-03-01,2001,3,1,-0.000396543157297001,-0.04770443997557905,0.008273950306717232,Severe,932.0,1110.0
2001-04,1.367,176.4,0.0077494331065759,497.0,2001-04-01,2001,4,2,-0.0001665237361270994,-0.021036463365840974,0.007992629983092968,Cold,921.0,1087.0
2001-05,1.343,177.3,0.0075747320924985,223.0,2001-05-01,2001,5,2,-0.00017470101407740003,-0.02254371534985633,0.007746707347259133,Mild,497.0,932.0
2001-06,1.322,177.7,0.0074395047833427,19.0,2001-06-01,2001,6,2,-0.00013522730915579984,-0.01785242137998777,0.007587889994139033,Warm,223.0,921.0
2001-07,1.257,177.4,0.0070856820744081,3.0,2001-07-01,2001,7,3,-0.0003538227089346004,-0.04755998137494599,0.0073666396500831,Warm,19.0,497.0
2001-08,1.238,177.4,0.0069785794813979,1.0,2001-08-01,2001,8,3,-0.00010710259301019952,-0.015115354017509519,0.007167922113049566,Warm,3.0,223.0
2001-09,1.285,178.1,0.0072150477259966,69.0,2001-09-01,2001,9,3,0.0002364682445986999,0.03388486800630841,0.007093103093934201,Mild,1.0,19.0
2001-10,1.227,177.6,0.0069087837837837,292.0,2001-10-01,2001,10,4,-0.0003062639422128999,-0.04244794405300989,0.0070341369970594,Mild,69.0,3.0
2001-11,1.193,177.5,0.0067211267605633,501.0,2001-11-01,2001,11,4,-0.00018765702322040036,-0.02716209235855216,0.006948319423447868,Cold,292.0,1.0
2001-12,1.117,177.4,0.0062965050732807,758.0,2001-12-01,2001,12,4,-0.0004246216872825998,-0.0631771579988788,0.0066421385392092325,Cold,501.0,69.0
2002-01,1.123,177.7,0.006319639842431,878.0,2002-01-01,2002,1,1,2.313476915030005e-05,0.003674223856099612,0.006445757225425001,Severe,758.0,292.0
2002-02,1.112,178.0,0.0062471910112359,803.0,2002-02-01,2002,2,1,-7.244883119509986e-05,-0.01146407596025767,0.006287778642315867,Severe,878.0,501.0
2002-03,1.119,178.5,0.0062689075630252,769.0,2002-03-01,2002,3,1,2.1716551789299765e-05,0.0034762106281434058,0.006278579472230701,Cold,803.0,758.0
2002-04,1.158,179.3,0.0064584495259341,466.0,2002-04-01,2002,4,2,0.00018954196290889985,0.030235246094047152,0.006324849366731733,Cold,769.0,878.0
2002-05,1.163,179.5,0.0064791086350974,243.0,2002-05-01,2002,5,2,2.0659109163300056e-05,0.003198772256459259,0.006402155241352233,Mild,466.0,803.0
2002-06,1.136,179.6,0.0063251670378619,84.0,2002-06-01,2002,6,2,-0.0001539415972355001,-0.023759687621472625,0.006420908399631133,Mild,243.0,769.0
2002-07,1.127,180.0,0.0062611111111111,1.0,2002-07-01,2002,7,3,-6.405592675079973e-05,-0.010127151799686374,0.006355128928023466,Warm,84.0,466.0
2002-08,1.135,180.5,0.0062880886426592,6.0,2002-08-01,2002,8,3,2.6977531548099884e-05,0.0043087450564844865,0.006291455597210734,Warm,1.0,243.0
2002-09,1.174,180.8,0.0064933628318584,33.0,2002-09-01,2002,9,3,0.0002052741891991998,0.03264492612374981,0.0063475208618762324,Warm,6.0,84.0
2002-10,1.203,181.2,0.0066390728476821,413.0,2002-10-01,2002,10,4,0.00014571001582370027,0.02243983889346257,0.0064735081073999,Cold,33.0,1.0
2002-11,1.221,181.5,0.0067272727272727,662.0,2002-11-01,2002,11,4,8.819987959059975e-05,0.013284969394693924,0.006619902802271066,Cold,413.0,6.0
2002-12,1.267,181.8,0.0069691969196919,988.0,2002-12-01,2002,12,4,0.0002419241924192005,0.03596170427852985,0.006778514164882233,Severe,662.0,33.0
2003-01,1.396,182.6,0.0076451259583789,1269.0,2003-01-01,2003,1,1,0.0006759290386869994,0.09698808147853022,0.007113865201781166,Severe,988.0,413.0
2003-02,1.641,183.6,0.008937908496732,1083.0,2003-02-01,2003,2,1,0.001292782538353101,0.16909891941495592,0.007850743791600933,Severe,1269.0,662.0
2003-03,1.766,183.9,0.0096030451332245,848.0,2003-03-01,2003,3,1,0.0006651366364924995,0.07441748108471868,0.008728693196111801,Severe,1083.0,988.0
2003-04,1.491,183.2,0.0081386462882096,620.0,2003-04-01,2003,4,2,-0.0014643988450149005,-0.15249317531044304,0.008893199972722034,Cold,848.0,1269.0
2003-05,1.372,182.9,0.0075013668671405,310.0,2003-05-01,2003,5,2,-0.0006372794210690999,-0.07830287722324558,0.0084143527628582,Cold,620.0,1083.0
2003-06,1.305,183.1,0.0071272528672856,80.0,2003-06-01,2003,6,2,-0.00037411399985489997,-0.04987277738590479,0.0075890886742119,Mild,310.0,848.0
2003-07,1.279,183.7,0.0069624387588459,2.0,2003-07-01,2003,7,3,-0.00016481410843970003,-0.02312449291594576,0.007197019497757333,Warm,80.0,620.0
2003-08,1.283,184.5,0.0069539295392953,5.0,2003-08-01,2003,8,3,-8.509219550600217e-06,-0.0012221607751722319,0.0070145403884755994,Warm,2.0,310.0
2003-09,1.284,185.1,0.0069367909238249,31.0,2003-09-01,2003,9,3,-1.7138615470399347e-05,-0.0024645943525243297,0.0069510530739887,Warm,5.0,80.0
2003-10,1.297,184.9,0.0070146024878312,372.0,2003-10-01,2003,10,4,7.781156400629968e-05,0.011217227801842755,0.006968440983650466,Cold,31.0,2.0
2003-11,1.331,185.0,0.0071945945945945,574.0,2003-11-01,2003,11,4,0.00017999210676329994,0.025659630331946293,0.007048662668750199,Cold,372.0,5.0
2003-12,1.36,185.5,0.0073315363881401,898.0,2003-12-01,2003,12,4,0.00013694179354560056,0.01903398332527151,0.0071802444901886,Severe,574.0,31.0
2004-01,1.508,186.3,0.008094471282877,1374.0,2004-01-01,2004,1,1,0.0007629348947368999,0.10406207571595294,0.007540200755203866,Severe,898.0,372.0
2004-02,1.558,186.7,0.0083449384038564,928.0,2004-02-01,2004,2,1,0.0002504671209793991,0.030942987160784252,0.0079236486916245,Severe,1374.0,574.0
2004-03,1.541,187.1,0.0082362373062533,795.0,2004-03-01,2004,3,1,-0.00010870109760310019,-0.013025991606225196,0.0082252156643289,Cold,928.0,898.0
2004-04,1.519,187.4,0.0081056563500533,468.0,2004-04-01,2004,4,2,-0.00013058095619999932,-0.015854443157053866,0.008228944020054333,Cold,795.0,1374.0
2004-05,1.533,188.2,0.0081455897980871,214.0,2004-05-01,2004,5,2,3.993344803379997e-05,0.004926614984551714,0.0081624944847979,Mild,468.0,928.0
2004-06,1.537,188.9,0.0081365802011646,54.0,2004-06-01,2004,6,2,-9.009596922500071e-06,-0.00110607054195333,0.008129275449768334,Mild,214.0,795.0
2004-07,1.536,189.1,0.0081226864093072,3.0,2004-07-01,2004,7,3,-1.3893791857400029e-05,-0.0017075714260655905,0.008134952136186301,Warm,54.0,468.0
2004-08,1.607,189.2,0.0084936575052854,4.0,2004-08-01,2004,8,3,0.00037097109597820054,0.04567098583950391,0.0082509747052524,Warm,3.0,214.0
2004-09,1.671,189.8,0.0088040042149631,60.0,2004-09-01,2004,9,3,0.0003103467096776998,0.036538641861245,0.008473449376518567,Mild,4.0,54.0
2004-10,1.882,190.8,0.0098637316561844,347.0,2004-10-01,2004,10,4,0.0010597274412213007,0.12036880212076806,0.0090537977921443,Cold,60.0,3.0
2004-11,1.958,191.7,0.0102138758476786,620.0,2004-11-01,2004,11,4,0.0003501441914941991,0.03549814651280214,0.009627203906275366,Cold,347.0,4.0
2004-12,1.895,191.7,0.009885237350026,931.0,2004-12-01,2004,12,4,-0.00032863849765260057,-0.03217568947906224,0.009987614951296332,Severe,620.0,60.0
2005-01,1.859,191.6,0.0097025052192066,1187.0,2005-01-01,2005,1,1,-0.00018273213081940014,-0.018485355925107805,0.009933872805637066,Severe,931.0,347.0
2005-02,1.962,192.4,0.0101975051975051,949.0,2005-02-01,2005,2,1,0.0004949999782985007,0.05101774924260005,0.009928415922245899,Severe,1187.0,620.0
2005-03,2.078,193.1,0.0107612635939927,923.0,2005-03-01,2005,3,1,0.0005637583964876007,0.05528395284618526,0.010220424670234799,Severe,949.0,931.0
2005-04,2.12,193.7,0.0109447599380485,463.0,2005-04-01,2005,4,2,0.00018349634405579948,0.017051561134348026,0.010634509576515433,Cold,923.0,1187.0
2005-05,2.036,193.6,0.0105165289256198,398.0,2005-05-01,2005,5,2,-0.00042823101242869983,-0.03912657882426385,0.010740850819220334,Cold,463.0,949.0
2005-06,2.059,193.7,0.010629839958699,69.0,2005-06-01,2005,6,2,0.00011331103307920046,0.010774565817354365,0.010697042940789101,Mild,398.0,923.0
2005-07,2.173,194.9,0.0111493073370959,11.0,2005-07-01,2005,7,3,0.0005194673783968998,0.0488687863989703,0.010765225407138234,Warm,69.0,463.0
2005-08,2.276,196.1,0.0116063233044365,0.0,2005-08-01,2005,8,3,0.00045701596734059984,0.04099052555668803,0.011128490200077135,Warm,11.0,398.0
2005-09,2.593,198.8,0.013043259557344,36.0,2005-09-01,2005,9,3,0.0014369362529075003,0.12380632653565948,0.011932963399625468,Warm,0.0,69.0
2005-10,2.626,199.1,0.0131893520843797,332.0,2005-10-01,2005,10,4,0.00014609252703570025,0.011200614876474058,0.012612978315386734,Cold,36.0,11.0
2005-11,2.458,198.1,0.0124078748107016,574.0,2005-11-01,2005,11,4,-0.0007814772736781002,-0.05925061888397176,0.012880162150808434,Cold,332.0,0.0
2005-12,2.407,198.1,0.0121504290762241,1009.0,2005-12-01,2005,12,4,-0.0002574457344774999,-0.020748576078109426,0.012582551990435134,Severe,574.0,36.0
2006-01,2.418,199.3,0.0121324636226793,884.0,2006-01-01,2006,1,1,-1.796545354480067e-05,-0.0014785859356979403,0.012230255836535002,Severe,1009.0,332.0
2006-02,2.423,199.4,0.0121514543630892,953.0,2006-02-01,2006,2,1,1.8990740409900037e-05,0.001565283111535587,0.012144782353997532,Severe,884.0,574.0
2006-03,2.429,199.7,0.0121632448673009,816.0,2006-03-01,2006,3,1,1.179050421169954e-05,0.0009702957242314625,0.012149054284356467,Severe,953.0,1009.0
2006-04,2.526,200.7,0.0125859491778774,455.0,2006-04-01,2006,4,2,0.0004227043105764997,0.03475259399840569,0.012300216136089165,Cold,816.0,884.0
2006-05,2.572,201.3,0.0127769498261301,267.0,2006-05-01,2006,5,2,0.00019100064825269998,0.015175704712714566,0.012508714623769466,Mild,455.0,953.0
2006-06,2.566,201.8,0.0127155599603567,58.0,2006-06-01,2006,6,2,-6.138986577339939e-05,-0.004804735606603994,0.012692819654788065,Mild,267.0,816.0
2006-07,2.597,202.9,0.012799408575653,0.0,2006-07-01,2006,7,3,8.384861529629924e-05,0.006594174032265476,0.012763972787379932,Warm,58.0,455.0
2006-08,2.649,203.8,0.0129980372914622,12.0,2006-08-01,2006,8,3,0.00019862871580920115,0.015518585459255663,0.0128376686091573,Warm,0.0,267.0
2006-09,2.531,202.8,0.0124802761341222,69.0,2006-09-01,2006,9,3,-0.0005177611573400007,-0.039833795343862666,0.012759240667079133,Mild,12.0,58.0
2006-10,2.396,201.9,0.011867261020307,336.0,2006-10-01,2006,10,4,-0.0006130151138152001,-0.04911871397934553,0.012448524815297133,Cold,69.0,0.0
2006-11,2.375,202.0,0.0117574257425742,477.0,2006-11-01,2006,11,4,-0.0001098352777327994,-0.009255318269721369,0.012034987632334467,Cold,336.0,12.0
2006-12,2.46,203.1,0.0121122599704579,744.0,2006-12-01,2006,12,4,0.0003548342278836998,0.03017958485579264,0.0119123155777797,Cold,477.0,69.0
2007-01,2.368,203.437,0.0116399671642818,1000.0,2007-01-01,2007,1,1,-0.0004722928061761007,-0.03899295485136833,0.011836550959104632,Severe,744.0,336.0
2007-02,2.425,204.226,0.011874100261475,1088.0,2007-02-01,2007,2,1,0.00023413309719320062,0.020114583992269175,0.0118754424654049,Severe,1000.0,477.0
2007-03,2.505,205.288,0.012202369354273,854.0,2007-03-01,2007,3,1,0.0003282690927979993,0.02764580773021219,0.011905478926676599,Severe,1088.0,744.0
2007-04,2.555,205.904,0.0124086953143212,599.0,2007-04-01,2007,4,2,0.00020632596004820092,0.01690868011432145,0.012161721643356401,Cold,854.0,1000.0
2007-05,2.567,206.755,0.0124156610481004,178.0,2007-05-01,2007,5,2,6.965733779199998e-06,0.0005613590794804058,0.012342241905564868,Mild,599.0,1088.0
2007-06,2.561,207.234,0.0123580107511315,50.0,2007-06-01,2007,6,2,-5.765029696890023e-05,-0.004643352999534445,0.012394122371184367,Warm,178.0,854.0
2007-07,2.621,207.603,0.0126250584047436,0.0,2007-07-01,2007,7,3,0.00026704765361209963,0.021609275067805633,0.012466243401325168,Warm,50.0,599.0
2007-08,2.634,207.667,0.0126837677628125,12.0,2007-08-01,2007,8,3,5.870935806889972e-05,0.004650224671185699,0.0125556123062292,Warm,0.0,178.0
